"";"IDU";"PMID";"study.name";"author_name";"type_Obsv_0_trial_1";"mono0_multi1";"published";"number_follow_up";"d_adm_dis";"rehosp_30_all.cause_all";"death_30_all";"rehosp_365";"death_365";"number_ttt";"all_gender_male";"TIME";"EF_all";"HF_all_n";"all_HT_n";"all_DM_n";"all_CAD.IHD_n";"all_COPD_n";"all_Afib_n";"all_ACE_ARB_adm_n";"all_ACE_ARB_adm_rate";"A_all_diuretic_n";"A_all_diuretic_rate";"A_all_digoxin_n";"A_all_digoxin_rate";"A_all_B_n";"A_all_B_rate";"SBP_all";"AGE_all";"HR_all";"all_gender_male_rate";"country1";"country2";"country3";"country4";"country5";"country6";"country7";"country8";"country9";"country10";"country11";"country12";"country13";"country14";"country15";"country16";"country17";"country18";"country19";"country20";"country21";"country22";"country23";"country24";"country25";"country26";"country27";"country28";"country29";"country30";"country31";"continent";"multicontinent"
"1";"19932515_Cotter";19932515;"Patterns of leukocyte counts on admissions for acute heart failure - presentation and outcome - results from a community based registry";"Cotter";0;0;2009;310;NA;NA;22;NA;NA;310;157;2004;41,7;NA;222,58;158,41;217,31;NA;90,21;NA;NA;NA;NA;NA;NA;NA;NA;164,3;75,3;93,3;0,506451612903226;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"2";"24125104_Aronson";24125104;"Pulmonary Hypertension, Right Ventricular Function, and Clinical Outcome in Acute Decompensated Heart Failure";"Aronson";0;0;2013;326;"1";NA;NA;NA;112;324;144;2010;NA;NA;316,83;149,08;183,74;NA;137,11;210,76;0,650493827160494;282,55;0,872067901234568;29,51;0,0910802469135802;225,95;0,697376543209877;NA;64,1349693251534;NA;0,444444444444444;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"3";"26364256_Baker";26364256;"Regional Hospital Collaboration and Outcome in Medicare Heart Failure Patients";"Baker";0;1;2015;237842;"1";63156;NA;NA;NA;237842;105248;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,442512256035519;"New.Zealand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oceania";NA
"4";"26978568_Lee_(a)";26978568;"Post-Discharge Follow-up Characteristics Associated With 30-Day Readmission After Heart Failure Hospitalization";"Lee_(a)";0;1;2016;1587;"1";1587;NA;NA;NA;1587;803;2010;NA;214,24;1360,06;693,52;206,31;NA;693,52;741,13;0,467000630119723;929,98;0,585998739760554;247,57;0,155998739760555;1047,42;0,66;NA;76,4;NA;0,5059861373661;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"5";"26978568_Lee_(b)";26978568;"Post-Discharge Follow-up Characteristics Associated With 30-Day Readmission After Heart Failure Hospitalization";"Lee_(b)";0;1;2016;7935;"1";0;NA;NA;NA;7935;4001;2010;NA;650,67;6728,88;3253,35;785,56;NA;3166,06;3388,24;0,426999369880277;4038,92;0,509000630119723;968,07;0,122;5181,56;0,653000630119723;NA;74,4;NA;0,504221802142407;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"6";"27028590_Dordunoo";27028590;"Inpatient Unit Heart Failure Discharge Volume Predicts All-cause 30-Day Hospital Readmission";"Dordunoo";0;1;2016;425;NA;86;NA;NA;NA;425;205;2011;37,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120,59;62,2;79,1;0,482352941176471;"Portugal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"7";"26702083_Donaho";26702083;"Protocol-Driven Allied Health Post-Discharge Transition Clinic to Reduce Hospital Readmissions in Heart Failure";"Donaho";0;0;2015;114;"1";14;NA;NA;NA;114;55;2011;NA;NA;98,04;63,84;61,56;26,22;29,64;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;NA;0,482456140350877;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"8";"26754527_Maggioni";26754527;"The real-world evidence of heart failure : findings from 41413 patients of the ARNO database";"Maggioni";0;1;2016;41413;"1";NA;NA;23431;NA;41413;20127;2010;NA;NA;NA;12713,79;NA;12630,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;NA;0,486006809455968;"Austria";"Germany";"Israel";"Switzerland";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"Yes"
"9";"27797432_Martin_Sanchez";27797432;"The Effect of Frailty on 30-day Mortality Risk in Older Patients With Acute Heart Failure Attended in the Emergency Department";"Martin_Sanchez";0;1;2017;465;"0";NA;34;NA;NA;465;182;2012;NA;294,81;413,85;170,19;152,98;100,9;281,79;NA;NA;NA;NA;NA;NA;NA;NA;NA;82,4;NA;0,391397849462366;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"10";"28772186_Deek";28772186;"An evaluation of involving family caregivers in the self-care of heart failure patients on hospital readmission : Randomised controlled trial (the Family study)";"Deek";1;1;2017;256;"1";30;28;NA;NA;256;141;2014;36;174,08;184,32;117,76;166,4;46,08;81,92;NA;NA;NA;NA;NA;NA;NA;NA;123;67;NA;0,55078125;"UK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
