PMID;study.name;author_name;type_Obsv_0_trial_1;mono0_multi1;start;end;published;number_follow_up;number_1_follow_up;number_2_follow_up;number_3_follow_up;number_4_follow_up;number_5_follow_up;number_6_follow_up;d_adm_dis;rehosp_30_all.cause_all;rehosp_30_all.cause_all_.;rehosp_30_all.cause_1;rehosp_30_all.cause_1_.;rehosp_30_all.cause_2;rehosp_30_all.cause_2_.;rehosp_30_all.cause_3;rehosp_30_all.cause_3_.;rehosp_30_all.cause_4;rehosp_30_all.cause_4_.;rehosp_30_all.cause_5;rehosp_30_all.cause_5_.;death_30_all;death_30_all_.;death_30_1;death_30_1_.;death_30_2;death_30_2_.;death_30_3;death_30_3_.;death_30_4;death_30_4_.;death_30_5;death_30_5_.;death_30_6;death_30_6_.;rehosp_365;rehosp_365_.;rehosp_365_1;rehosp_365_1_.;rehosp_365_2;rehosp_365_2_.;rehosp_365_3;rehosp_365_3_.;rehosp_365_4;rehosp_365_4_.;death_365;death_365_.;death_365_1;death_365_1_.;death_365_2;death_365_2_.;death_365_3;death_365_3_.;death_365_4;death_365_4_.;death_365_5;death_365_5_.;death_365_6;death_365_6_.;number_ttt;number_1_ttt;number_2_ttt;number_3_ttt;number_4_ttt;number_5_ttt;number_6_ttt;A_all_ACE;A_ACE_1;A_ACE_2;A_ACE_3;A_ACE_4;A_ACE_5;A_ACE_6;A_all_ARB;A_ARB_1;A_ARB_2;A_ARB_3;A_ARB_4;A_ARB_5;A_all_ACE_ARB;A_ACE_ARB_1;A_ACE_ARB_2;A_ACE_ARB_3;A_ACE_ARB_4;A_ACE_ARB_5;A_all_B;A_B_1;A_B_2;A_B_3;A_B_4;A_B_5;A_B_6;A_all_diuretic;A_diuretic_1;A_diuretic_2;A_diuretic_3;A_diuretic_4;A_diuretic_5;A_all_digoxin;A_digoxin_1;A_digoxin_2;A_digoxin_3;A_digoxin_4;A_digoxin_5;all_median_age;median_age_1;median_age_2;median_age_3;median_age_4;all_mean_age_years;mean_age_1;mean_age_2;mean_age_3;mean_age_4;mean_age_5;mean_age_6;all_gender_male;all_gender_male_.;gender_male_1;gender_male_1_.;gender_male_2;gender_male_2_.;gender_male_3;gender_male_3_.;gender_male_4;gender_male_4_.;gender_male_5;gender_male_5_.;gender_male_6;gender_male_6_.;HF_all;HF_1;HF_2;HF_3;HF_4;HF_5;HF_6;all_HT;HT_1;HT_2;HT_3;HT_4;HT_5;HT_6;all_DM;DM_1;DM_2;DM_3;DM_4;DM_5;DM_6;all_COPD;COPD_1;COPD_2;COPD_3;COPD_4;COPD_5;COPD_6;all_Afib;Afib_1;Afib_2;Afib_3;Afib_4;Afib_5;Afib_6;all_CAD.IHD;CAD.IHD_1;CAD.IHD_2;CAD.IHD_3;CAD.IHD_4;CAD.IHD_5;CAD.IHD_6;all_median_SBP;median_SBP_1;median_SBP_2;median_SBP_3;median_SBP_4;median_SBP_5;median_SBP_6;all_mean_SBP;mean_SBP_1;mean_SBP_2;mean_SBP_3;mean_SBP_4;mean_SBP_5;mean_SBP_6;all_median_HR;median_HR_1;median_HR_2;median_HR_3;median_HR_4;median_HR_5;median_HR_6;all_mean_HR;mean_HR_1;mean_HR_2;mean_HR_3;mean_HR_4;mean_HR_5;mean_HR_6;all_median_EF;median_EF_1;median_EF_2;median_EF_3;median_EF_4;all_mean_EF;mean_EF_1;mean_EF_2;mean_EF_3;mean_EF_4;mean_EF_5;mean_EF_6;;;;;;
19932515;Patterns of leukocyte counts on admissions for acute heart failure - presentation and outcome - results from a community based registry;Cotter;0;0;NA;NA;2009;310;106;105;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;7.1;8;8;8;8;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;310;106;105;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.3;75.099999999999994;74.7;76;NA;NA;NA;157;50.6;57;54;50;48;50;51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71.8;65;80;70;NA;NA;NA;51.1;58;47;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29.1;32;29;26;NA;NA;NA;70.099999999999994;68;70;73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;164.3;158;163.19999999999999;172.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93.3;86.7;91.5;102.6;NA;NA;NA;NA;NA;NA;NA;NA;41.7;42.2;42.6;40.1;NA;NA;NA;;;;;;
24125104;Pulmonary Hypertension, Right Ventricular Function, and Clinical Outcome in Acute Decompensated Heart Failure;Aronson;0;0;2008;2011;2013;326;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;112;34.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;324;163;80;24;59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;63;75;70;NA;NA;64;71;71;81;NA;NA;NA;84;85;85;97;NA;NA;7;6;21;14;NA;NA;NA;NA;NA;NA;NA;77;78;71;7;NA;NA;NA;NA;65;40;33;41;13;54;33;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;88;67;76;NA;NA;NA;41;49;54;51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44;44;25;41;NA;NA;NA;55;54;67;59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
26364256;Regional Hospital Collaboration and Outcome in Medicare Heart Failure Patients;Baker;0;1;2011;2012;2015;237842;26744;24849;93928;92321;NA;NA;1;NA;NA;NA;29;NA;27.3;NA;26.4;NA;25.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;237842;26744;24849;93928;92321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11270;42.1;10704;43.08;41806;44.51;41468;44.92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
26978568;Post-Discharge Follow-up Characteristics Associated With 30-Day Readmission After Heart Failure Hospitalization;Lee_(a);0;1;2006;2013;2016;1587;NA;NA;NA;NA;NA;NA;1;1587;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1587;NA;NA;NA;NA;NA;NA;46.7;NA;NA;NA;NA;NA;NA;17.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;NA;NA;NA;NA;NA;NA;58.6;NA;NA;NA;NA;NA;15.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.400000000000006;NA;NA;NA;NA;NA;NA;803;50.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.5;NA;NA;NA;NA;NA;NA;85.7;NA;NA;NA;NA;NA;NA;43.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43.7;NA;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
26978568;Post-Discharge Follow-up Characteristics Associated With 30-Day Readmission After Heart Failure Hospitalization;Lee_(b);0;1;2006;2013;2016;7935;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7935;NA;NA;NA;NA;NA;NA;42.7;NA;NA;NA;NA;NA;NA;17.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65.3;NA;NA;NA;NA;NA;NA;50.9;NA;NA;NA;NA;NA;12.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74.400000000000006;NA;NA;NA;NA;NA;NA;4001;50.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.2;NA;NA;NA;NA;NA;NA;84.8;NA;NA;NA;NA;NA;NA;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39.9;NA;NA;NA;NA;NA;NA;9.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
27028590;Inpatient Unit Heart Failure Discharge Volume Predicts All-cause 30-Day Hospital Readmission;Dordunoo;0;1;2011;2011;2016;425;NA;NA;NA;NA;NA;NA;NA;NA;20.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62.2;NA;NA;NA;NA;NA;NA;205;48.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120.59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79.099999999999994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37.700000000000003;NA;NA;NA;NA;NA;NA;;;;;;
26702083;Protocol-Driven Allied Health Post-Discharge Transition Clinic to Reduce Hospital Readmissions in Heart Failure;Donaho;0;0;2010;2012;2015;114;NA;NA;NA;NA;NA;NA;1;14;12.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;NA;NA;NA;NA;NA;NA;55;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;NA;NA;NA;NA;NA;NA;56;NA;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA;26;NA;NA;NA;NA;NA;NA;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
26754527;The real-world evidence of heart failure : findings from 41413 patients of the ARNO database;Maggioni;0;1;2008;2012;2016;41413;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23431;56.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;NA;NA;NA;NA;NA;NA;NA;48.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30.7;NA;NA;NA;NA;NA;NA;30.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
27797432;The Effect of Frailty on 30-day Mortality Risk in Older Patients With Acute Heart Failure Attended in the Emergency Department;Martin_Sanchez;0;1;2011;2014;2017;465;169;296;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;7.5;22;13;12;4.0999999999999996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;465;169;296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82.4;84.8;81.099999999999994;NA;NA;NA;NA;182;39;44;25.599999999999994;138;46.6;NA;NA;NA;NA;NA;NA;NA;NA;63.4;69.8;59.8;NA;NA;NA;NA;89;93.5;86.5;NA;NA;NA;NA;36.6;37.299999999999997;36.1;NA;NA;NA;NA;21.7;20.7;22.3;NA;NA;NA;NA;60.6;63.3;59.1;NA;NA;NA;NA;32.9;33.1;32.799999999999997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
28772186;An evaluation of involving family caregivers in the self-care of heart failure patients on hospital readmission : Randomised controlled trial (the Family study);Deek;1;1;2013;2014;2017;256;126;130;NA;NA;NA;NA;1;30;14;10;9;20;19;NA;NA;NA;NA;NA;NA;28;NA;9;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;256;126;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67;65;68;NA;NA;NA;NA;141;55;67;53;74;57;NA;NA;NA;NA;NA;NA;NA;NA;68;74;62;NA;NA;NA;NA;72;71;73;NA;NA;NA;NA;46;46;46;NA;NA;NA;NA;18;18;19;NA;NA;NA;NA;32;28;36;NA;NA;NA;NA;65;66;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;123;124;124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;37;36;NA;NA;NA;NA;;;;;;
